job_title,company_name,company_location,job_url
job_title,company_name,company_location,job_url
b'Software Development Python - Internship',b'emax digital',"b'Munich, Bavaria, Germany'",b'https://de.linkedin.com/jobs/view/software-development-python-internship-at-emax-digital-3584986126?refId=SNbBieUEZKiq17VsiM324A%3D%3D&trackingId=xMCZt3KKxD2AshH%2FJeIvlA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Graduate Software Developer (Python)',b'Qdrant',"b'Berlin, Berlin, Germany'",b'https://de.linkedin.com/jobs/view/graduate-software-developer-python-at-qdrant-3589271533?refId=SNbBieUEZKiq17VsiM324A%3D%3D&trackingId=v9LK1c6yK1U%2FmhMSuDIxtg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Backend Developer (Python)',b'Preisenergie',"b'Munich, Bavaria, Germany'",b'https://de.linkedin.com/jobs/view/backend-developer-python-at-preisenergie-3584975432?refId=SNbBieUEZKiq17VsiM324A%3D%3D&trackingId=ggm5YojCF0tzqnNxj2CL0A%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Senior Python Developer',b'payabl.',"b'Frankfurt, Hesse, Germany'",b'https://de.linkedin.com/jobs/view/senior-python-developer-at-payabl-3580760916?refId=SNbBieUEZKiq17VsiM324A%3D%3D&trackingId=4W5cHwZ5d5F0H0bJa3fSnQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Full-Stack Software Engineer, Python'",b'Prestatech',"b'Berlin, Berlin, Germany'",b'https://de.linkedin.com/jobs/view/full-stack-software-engineer-python-at-prestatech-3590333176?refId=SNbBieUEZKiq17VsiM324A%3D%3D&trackingId=mq%2B9TKSpqjlkiWcLSCRxzQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Junior Full Stack Developer, Python + React (m/f/d)'",b'Preisenergie',"b'Munich, Bavaria, Germany'",b'https://de.linkedin.com/jobs/view/junior-full-stack-developer-python-%2B-react-m-f-d-at-preisenergie-3584972413?refId=SNbBieUEZKiq17VsiM324A%3D%3D&trackingId=qW6Ga54RKhMEWDOm4PnL3w%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Python Developer',b'Grupo Norconsulting',"b'Berlin, Berlin, Germany'",b'https://de.linkedin.com/jobs/view/python-developer-at-grupo-norconsulting-3552019965?refId=SNbBieUEZKiq17VsiM324A%3D%3D&trackingId=q3MdZLcQdO64cIJ55Hd9Nw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Senior Python Engineer (hybrid)',b'BeamNG GmbH',"b'Bremen, Bremen, Germany'",b'https://de.linkedin.com/jobs/view/senior-python-engineer-hybrid-at-beamng-gmbh-3556938548?refId=SNbBieUEZKiq17VsiM324A%3D%3D&trackingId=R7s%2BcOqT%2FbfujxXdRCcbdA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Python Developer (m/w/d)',b'AlphaPet Ventures GmbH',"b'Munich, Bavaria, Germany'",b'https://de.linkedin.com/jobs/view/python-developer-m-w-d-at-alphapet-ventures-gmbh-3584976181?refId=SNbBieUEZKiq17VsiM324A%3D%3D&trackingId=txH%2BQHO%2FyYOUyUPdCXDAGg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card'
